65,2000,Lost in the Pershing Point Hotel,Julia Jay Pierrepont III,Leslie Jordan,Leslie Jordan, Comedy
67,1997,Vampire Journals,Ted Nicolaou,Ted Nicolaou,Jonathon Morris, Fantasy
72,1974,At Home Among Strangers,Nikita Mikhalkov,Nikita Mikhalkov,Yuriy Bogatyryov, Action
74,1999,6ixtynin9,Pen-Ek Ratanaruang,Pen-Ek Ratanaruang,Tasanawalai Ongartittichai, Comedy
77,1995,Congo,Frank Marshall,Michael Crichton,Laura Linney, Action
78,1996,Jingle All the Way,Brian Levant,Randy Kornfield,Arnold Schwarzenegger, Comedy
80,1979,Winter Kills,William Richert,Richard Condon,Jeff Bridges, Comedy
82,1951,The Frogmen,Lloyd Bacon,John Tucker Battle,Richard Widmark, Adventure
83,1983,Silkwood,Mike Nichols,Nora Ephron,Meryl Streep, Biography
84,2002,The Powerpuff Girls Movie,Craig McCracken,Charlie Bean,Cathy Cavadini, Animation
86,1996,Iron Monkey 2,Lu Chiang Chao,Man Choi Lee,Donnie Yen, Action
90,1951,The Lemon Drop Kid,Sidney Lanfield,Edmund Beloin,Bob Hope, Comedy
95,1985,Dona Herlinda and Her Son,Jaime Humberto Hermosillo,Jaime Humberto Hermosillo,Arturo Meza, Comedy
102,2004,Notre Musique,Jean-Luc Godard,Jean-Luc Godard,Sarah Adler, Drama
104,1965,The Great Race,Blake Edwards,Arthur A. Ross,Tony Curtis, Action
108,2004,Spartan,David Mamet,David Mamet,Val Kilmer, Action
112,1993,The Eye of Vichy,Claude Chabrol,Jean-Pierre Azéma,Michel Bouquet, Documentary
113,2000,Bruce Lee: A Warrior's Journey,John Little,Bruce Lee,Bruce Lee, Documentary
116,2004,Bear Cub,Miguel Albaladejo,Miguel Albaladejo,José Luis García Pérez, Comedy
117,1957,Silk Stockings,Rouben Mamoulian,Leonard Gershe,Fred Astaire, Comedy
118,1985,Rambo: First Blood Part II,George P. Cosmatos,David Morrell,Sylvester Stallone, Action
122,2002,Cube 2: Hypercube,Andrzej Sekula,Sean Hood,Kari Matchett, Drama
123,2000,Chain of Fools,Pontus Löwenhielm,Bix Skahill,Steve Zahn, Comedy
125,1981,Nighthawks,Bruce Malmuth,David Shaber,Sylvester Stallone, Action
127,1987,Fatal Beauty,Tom Holland,Bill Svanoe,Whoopi Goldberg, Action
128,1985,Mr. Vampire,Ricky Lau,Ricky Lau,Ching-Ying Lam, Action
129,2003,Darkwolf,Richard Friedman,Geoffrey Alan Holliday,Samaire Armstrong, Horror
130,1999,Drowning on Dry Land,Carl Colpaert,Julie Jacobs,Barbara Hershey, Drama
134,1996,Spirit Lost,Neema Barnette,Joyce Renee Lewis,James Avery, Drama
137,1998,Naked Lies,Ralph E. Portillo,D. Alvelo,Shannon Tweed, Action
140,1993,Lost in the Wild,Larry Shaw,Andrew Laskos,Lindsay Wagner, Adventure
143,1997,The Game,David Fincher,John Brancato,Michael Douglas, Drama
145,1978,Get Out Your Handkerchiefs,Bertrand Blier,Bertrand Blier,Gérard Depardieu, Comedy
148,2001,Sweet November,Pat O'Connor,Herman Raucher,Keanu Reeves, Drama
150,2001,Firetrap,Harris Done,Diane Fine,Dean Cain, Action
151,2005,Sleepover Nightmare,Boon Collins,Boon Collins,Hayley Sales, Horror
152,1995,A Little Princess,Alfonso Cuarón,Frances Hodgson Burnett,Liesel Matthews, Drama
155,1975,The Strongest Man in the World,Vincent McEveety,Joseph L. McEveety,Kurt Russell, Comedy
156,1992,Husbands and Wives,Woody Allen,Woody Allen,Woody Allen, Comedy
158,2004,A Killer Within,Brad Keller,Chris Peirson,C. Thomas Howell, Thriller
159,1971,Gentlemen of Fortune,Aleksandr Sery,Georgiy Daneliya,Evgeniy Leonov, Comedy
161,1939,Ninotchka,Ernst Lubitsch,Charles Brackett,Greta Garbo, Comedy
164,2003,One Last Dance,Lisa Niemi,Lisa Niemi,Patrick Swayze, Drama
165,1982,Richard Pryor: Live on the Sunset Strip,Joe Layton,Richard Pryor,Richard Pryor, Documentary
166,1980,Fame,Alan Parker,Christopher Gore,Eddie Barth, Drama
167,2004,The Chorus,Christophe Barratier,Georges Chaperot,Gérard Jugnot, Drama
168,1983,Smokey and the Bandit Part 3,Dick Lowry,Stuart Birnbaum,Jackie Gleason, Comedy
171,1957,Funny Face,Stanley Donen,Leonard Gershe,Audrey Hepburn, Comedy
173,1968,The Devil's Brigade,Andrew V. McLaglen,William Roberts,William Holden, Action
175,1992,Reservoir Dogs,Quentin Tarantino,Quentin Tarantino,Harvey Keitel, Crime
178,1996,Regular Guys,Rolf Silber,Rolf Silber,Christoph M. Ohrt, Comedy
181,2004,The Last Shot,Jeff Nathanson,Steve Fishman,Matthew Broderick, Comedy
186,1950,Panic in the Streets,Elia Kazan,Richard Murphy,Richard Widmark, Crime
187,2002,Death to Smoochy,Danny DeVito,Adam Resnick,Robin Williams, Comedy
189,1982,Airplane II: The Sequel,Ken Finkleman,Ken Finkleman,Robert Hays, Comedy
191,2003,X2: X-Men United,Bryan Singer,Zak Penn,Patrick Stewart, Action
195,2004,Chasing Freedom,Don McBrearty,Barbara Samuels,Juliette Lewis, Drama
196,1992,Peter Tosh: Stepping Razor: Red X,Nicholas Campbell,Nicholas Campbell,Edward 'Bigs' Allen, Documentary
197,2004,Taking Lives,D.J. Caruso,Michael Pye,Angelina Jolie, Crime
199,1978,The Deer Hunter,Michael Cimino,Michael Cimino,Robert De Niro, Drama
200,1964,The Fall of the Roman Empire,Anthony Mann,Ben Barzman,Sophia Loren, Drama
202,2001,Ruby's Bucket of Blood,Peter Werner,Julie Hébert,Angela Bassett, Drama
204,2002,Venus Boyz,Gabriel Baur,Gabriel Baur,Diane Torr, Documentary
206,2004,Unconstitutional: The War on Our Civil Liberties,Nonny de la Peña,Nonny de la Peña,Aquil Abdullah, Documentary
210,2001,Onmyoji,Yôjirô Takita,Richard Epcar,Mansai Nomura, Action
212,1982,Querelle,Rainer Werner Fassbinder,Jean Genet,Brad Davis, Drama
219,1995,Neon Bible,Terence Davies,Terence Davies,Jacob Tierney, Drama
225,2004,The Cookout,Lance Rivera,Queen Latifah,Quran Pender, Comedy
226,1996,Henry: Portrait of a Serial Killer 2,Chuck Parello,Chuck Parello,Penelope Milford, Crime
228,1979,Butch and Sundance: The Early Days,Richard Lester,Allan Burns,William Katt, Comedy
231,2002,Marooned in Iraq,Bahman Ghobadi,Bahman Ghobadi,Shahab Ebrahimi, Drama
232,1989,Gross Anatomy,Thom Eberhardt,Mark Spragg,Matthew Modine, Drama
235,1996,Unhook the Stars,Nick Cassavetes,Helen Caldwell,Gena Rowlands, Drama
238,1976,Led Zeppelin: The Song Remains the Same,Peter Clifton,Peter Clifton,Robert Plant, Documentary
239,2004,Winnie the Pooh: Springtime with Roo,Saul Blinkoff,A.A. Milne,Jim Cummings, Animation
240,1942,Woman of the Year,George Stevens,Ring Lardner Jr.,Spencer Tracy, Comedy
241,1959,North by Northwest,Alfred Hitchcock,Ernest Lehman,Cary Grant, Adventure
243,1962,Pressure Point,Hubert Cornfield,Hubert Cornfield,Sidney Poitier, Drama
245,2002,Road Dogz,Alfredo Ramos,Alfredo Ramos,Clifton Collins Jr., Crime
246,1968,The Boston Strangler,Richard Fleischer,Edward Anhalt,Tony Curtis, Crime
247,1994,Oleanna,David Mamet,David Mamet,William H. Macy, Drama
250,1966,Cast a Giant Shadow,Melville Shavelson,Ted Berkman,Kirk Douglas, Adventure
252,2002,Stuart Little 2,Rob Minkoff,E.B. White,Michael J. Fox, Animation
253,1935,A Night at the Opera,Sam Wood,George S. Kaufman,Groucho Marx, Comedy
254,2003,Westender,Brock Morse,Jefferson O.S. Brassfield,Blake Stadel, Drama
258,1999,Mann,Indra Kumar,Aatish Kapadia,Aamir Khan, Drama
260,1967,Marat / Sade,Peter Brook,Peter Weiss,Patrick Magee, Drama
261,1948,The Big Clock,John Farrow,Jonathan Latimer,Ray Milland, Crime
262,1974,Herbie Rides Again,Robert Stevenson,Bill Walsh,Helen Hayes, Comedy
268,1980,The Final Countdown,Don Taylor,Thomas Hunter,Kirk Douglas, Action
272,1973,Female Yakuza Tale,Teruo Ishii,Teruo Ishii,Reiko Ike, Action
274,2002,Crazy as Hell,Eriq La Salle,Jeremy Leven,Michael Beach, Drama
275,2002,Evelyn,Bruce Beresford,Paul Pender,Pierce Brosnan, Drama
279,1984,Micki and Maude,Blake Edwards,Jonathan Reynolds,Dudley Moore, Comedy
283,1996,If These Walls Could Talk,Cher,Pamela Wallace,Demi Moore, Drama
284,2005,Sasquatch Hunters,Fred Tepper,Alain Matz,Matt Lattimore, Action
285,1997,The Devil's Own,Alan J. Pakula,Kevin Jarre,Harrison Ford, Action
290,2004,Harold and Kumar Go to White Castle,Danny Leiner,Jon Hurwitz,John Cho, Adventure
295,1995,Ace Ventura: When Nature Calls,Steve Oedekerk,Jack Bernstein,Jim Carrey, Adventure
296,2000,In His Life: The John Lennon Story,David Carson,Michael O'Hara,Philip McQuillan, Biography
297,2003,The Hebrew Hammer,Jonathan Kesselman,Jonathan Kesselman,Adam Goldberg, Comedy
299,2001,Bridget Jones's Diary,Sharon Maguire,Helen Fielding,Renée Zellweger, Comedy
301,2003,Hard Ground,Frank Q. Dobbs,Frank Q. Dobbs,Burt Reynolds, Western
308,1974,The Legend of the 7 Golden Vampires/7 Brothers of Dracula,Roy Ward Baker,Don Houghton,Peter Cushing, Action
309,1975,The Day of the Locust,John Schlesinger,Nathanael West,Donald Sutherland, Drama
311,1994,Ed Wood,Tim Burton,Rudolph Grey,Johnny Depp, Biography
312,2000,High Fidelity,Stephen Frears,Nick Hornby,John Cusack, Comedy
313,2000,Pay It Forward,Mimi Leder,Catherine Ryan Hyde,Kevin Spacey, Drama
317,1997,Mandela and de Klerk,Joseph Sargent,Richard Wesley,Sidney Poitier, Drama
320,1997,Eat Your Heart Out,Felix O. Adlon,Felix O. Adlon,Christian Oliver, Comedy
321,2004,Ju-Rei: The Uncanny,Kôji Shiraishi,Naoyuki Yokota,Chinatsu Wakatsuki, Horror
322,1974,Flesh Gordon,Michael Benveniste,Michael Benveniste,Jason Williams, Comedy
329,1999,Dogma,Kevin Smith,Kevin Smith,Ben Affleck, Adventure
330,1998,Wild Things,John McNaughton,Stephen Peters,Kevin Bacon, Crime
331,1997,Chasing Amy,Kevin Smith,Kevin Smith,Ben Affleck, Comedy
334,2005,The Pacifier,Adam Shankman,Thomas Lennon,Vin Diesel, Action
335,1981,Fear No Evil,Frank LaLoggia,Frank LaLoggia,Stefan Arngrim, Horror
336,1978,The Driver,Walter Hill,Walter Hill,Ryan O'Neal, Action
337,1983,Star 80,Bob Fosse,Teresa Carpenter,Mariel Hemingway, Biography
341,2004,Tremors 4: The Legend Begins,S.S. Wilson,S.S. Wilson,Michael Gross, Action
344,1967,The Taming of the Shrew,Franco Zeffirelli,William Shakespeare,Elizabeth Taylor, Comedy
348,1988,The Last Temptation of Christ,Martin Scorsese,Nikos Kazantzakis,Willem Dafoe, Drama
349,1978,The Swarm,Irwin Allen,Arthur Herzog III,Michael Caine, Horror
351,1969,Guns of the Magnificent Seven,Paul Wendkos,Herman Hoffman,George Kennedy, Action
352,1997,Pick a Card,Julie Shles,Amit Lior,Zvika Hadar, Comedy
353,2002,Life or Something Like It,Stephen Herek,John Scott Shepherd,Angelina Jolie, Comedy
354,1981,Sadomania,Jesús Franco,Jesús Franco,Ajita Wilson, Action
357,2003,House of Sand and Fog,Vadim Perelman,Andre Dubus III,Jennifer Connelly, Crime
358,1979,The Onion Field,Harold Becker,Joseph Wambaugh,John Savage, Crime
362,2000,The Flintstones in Viva Rock Vegas,Brian Levant,William Hanna,Mark Addy, Comedy
363,2002,Stark Raving Mad,Drew Daywalt,Drew Daywalt,Seann William Scott, Action
369,2000,Playing Mona Lisa,Matthew Huffman,Marni Freedman,Alicia Witt, Comedy
371,1966,The Trouble with Angels,Ida Lupino,Blanche Hanalis,Rosalind Russell, Comedy
372,1998,Jeans,S. Shankar,S. Shankar,Prashanth, Comedy
374,1976,The Little Girl Who Lives Down the Lane,Nicolas Gessner,Laird Koenig,Jodie Foster, Drama
378,2003,Party Monster,Fenton Bailey,Fenton Bailey,Macaulay Culkin, Biography
380,1992,Live Wire,Christian Duguay,Bart Baker,Pierce Brosnan, Action
381,1991,Out for Justice,John Flynn,R. Lance Hill,Steven Seagal, Action
382,2004,Buried in the Sand: The Deception of America,David Wald,Rob Cartee,Mark Taylor, Documentary
384,1986,Crossroads,Walter Hill,John Fusco,Ralph Macchio, Drama
385,2002,The Santa Clause 2,Michael Lembeck,Don Rhymer,Tim Allen, Comedy
386,1994,Princess Caraboo,Michael Austin,Michael Austin,Phoebe Cates, Comedy
387,1984,Bizet's Carmen,Francesco Rosi,Henri Meilhac,Julia Migenes, Drama
388,1990,Body Chemistry,Kristine Peterson,Jackson Barr,Marc Singer, Drama
389,2002,Steal,Gérard Pirès,Mark Ezra,Natasha Henstridge, Action
392,1993,Danielle Steel's Heartbeat,Michael Miller,Danielle Steel,John Ritter, Comedy
393,1998,The Replacement Killers,Antoine Fuqua,Ken Sanzel,Yun-Fat Chow, Action
395,1935,Captain Blood,Michael Curtiz,Rafael Sabatini,Errol Flynn, Action
397,1946,A Night in Casablanca,Archie Mayo,Joseph Fields,Groucho Marx, Comedy
398,1976,In the Realm of the Senses,Nagisa Ôshima,Nagisa Ôshima,Tatsuya Fuji, Drama
400,1970,Rio Lobo,Howard Hawks,Burton Wohl,John Wayne, Adventure
401,1989,Halloween 5: The Revenge of Michael Myers,Dominique Othenin-Girard,John Carpenter,Donald Pleasence, Horror
402,1999,Pan Tadeusz,Andrzej Wajda,Adam Mickiewicz,Boguslaw Linda, Drama
404,2001,The Shaft,Dick Maas,Dick Maas,James Marshall, Action
405,1987,Wings of Desire,Wim Wenders,Wim Wenders,Bruno Ganz, Drama
406,2005,Hostage,Florent-Emilio Siri,Robert Crais,Bruce Willis, Action
407,1972,The Abductors,Don Schain,Don Schain,Cheri Caffaro, Action
408,1990,Nightbreed,Clive Barker,Clive Barker,Craig Sheffer, Action
409,1966,Godzilla vs. The Sea Monster,Jun Fukuda,Shin'ichi Sekizawa,Akira Takarada, Action
410,1998,Frank Lloyd Wright,Ken Burns,Geoffrey C. Ward,Edward Herrmann, Documentary
413,2002,Igby Goes Down,Burr Steers,Burr Steers,Kieran Culkin, Comedy
415,2002,Reign in Darkness,David W. Allen,David W. Allen,Kelly Dolen, Action
416,2003,Elephant,Gus Van Sant,Gus Van Sant,Elias McConnell, Crime
422,1964,The Unsinkable Molly Brown,Charles Walters,Helen Deutsch,Debbie Reynolds, Biography
424,1998,Happiness,Todd Solondz,Todd Solondz,Jane Adams, Comedy
426,2001,Recess: School's Out,Chuck Sheetz,Paul Germain,Andrew Lawrence, Animation
427,1990,Graveyard Shift,Ralph S. Singleton,Stephen King,David Andrews, Horror
429,1997,Zeus and Roxanne,George Miller,Tom Benedek,Steve Guttenberg, Adventure
433,1993,Untamed Heart,Tony Bill,Tom Sierchio,Christian Slater, Comedy
435,1996,Love Can Seriously Damage Your Health,Manuel Gómez Pereira,Yolanda García Serrano,Ana Belén, Comedy
436,1985,Girls Just Want to Have Fun,Alan Metter,Amy Spies,Biff Yeager, Comedy
438,1997,Bean: The Movie,Mel Smith,Rowan Atkinson,Rowan Atkinson, Adventure
439,1961,Town Without Pity,Gottfried Reinhardt,Manfred Gregor,Kirk Douglas, Crime
440,2003,Just 4 Kicks,Sydney J. Bartholomew Jr.,Sydney J. Bartholomew Jr.,Cole Sprouse, Adventure
442,1988,Mississippi Burning,Alan Parker,Chris Gerolmo,Gene Hackman, Crime
443,2002,Rabbit-Proof Fence,Phillip Noyce,Doris Pilkington,Everlyn Sampi, Adventure
445,1996,Michael Collins,Neil Jordan,Neil Jordan,Liam Neeson, Biography
446,1995,The Underneath,Steven Soderbergh,Don Tracy,Peter Gallagher, Crime
453,1992,Simple Men,Hal Hartley,Hal Hartley,Robert John Burke, Crime
455,1999,Cardcaptor Sakura: The Movie,Morio Asaka,Jennifer Pertsch,Sakura Tange, Animation
457,2004,Kill Bill: Vol. 2,Quentin Tarantino,Quentin Tarantino,Uma Thurman, Action
459,1996,Basquiat,Julian Schnabel,Lech Majewski,Jeffrey Wright, Biography
460,1971,Pink Narcissus,James Bidgood,James Bidgood,Don Brooks, Drama
465,1995,Coolie No.1,David Dhawan,Rumi Jaffery,Govinda, Comedy
467,1941,Topper Returns,Roy Del Ruth,Thorne Smith,Joan Blondell, Comedy
468,2003,The Matrix: Revolutions,Lana Wachowski,Lilly Wachowski,Keanu Reeves, Action
470,2001,Beneath Loch Ness,Chuck Comisky,Shane Bitterling,Patrick Bergin, Action
471,1931,City Lights,Charles Chaplin,Charles Chaplin,Charles Chaplin, Comedy
473,1997,Princess Mononoke,Hayao Miyazaki,Hayao Miyazaki,Yôji Matsuda, Animation
474,1998,Legend of 1900,Giuseppe Tornatore,Alessandro Baricco,Tim Roth, Drama
475,1993,Surf Ninjas,Neal Israel,Dan Gordon,Ernie Reyes Sr., Action
481,2002,Building the Great Pyramid,Jonathan Stamp,Jonathan Stamp,Abdalla Mahmoud, Documentary
482,2002,Frida,Julie Taymor,Hayden Herrera,Salma Hayek, Biography
483,2001,Rush Hour 2,Brett Ratner,Ross LaManna,Jackie Chan, Action
488,2001,His Secret Life,Ferzan Ozpetek,Gianni Romoli,Margherita Buy, Drama
489,1998,Return to Paradise,Joseph Ruben,Pierre Jolivet,Vince Vaughn, Drama
490,1999,The Passion of Ayn Rand,Christopher Menaul,Barbara Branden,Helen Mirren, Biography
491,1966,Torn Curtain,Alfred Hitchcock,Brian Moore,Paul Newman, Thriller
492,1984,Mrs. Soffel,Gillian Armstrong,Ron Nyswaner,Diane Keaton, Drama
495,2000,Mission Kashmir,Vidhu Vinod Chopra,Vikram Chandra,Sanjay Dutt, Action
499,2000,Under Suspicion,Stephen Hopkins,John Wainwright,Morgan Freeman, Crime
505,1997,A Thousand Acres,Jocelyn Moorhouse,Jane Smiley,Michelle Pfeiffer, Drama
507,1966,Nevada Smith,Henry Hathaway,Harold Robbins,Steve McQueen, Western
508,1979,Saint Jack,Peter Bogdanovich,Howard Sackler,Ben Gazzara, Drama
511,2002,Avenging Angelo,Martyn Burke,Will Aldis,Sylvester Stallone, Action
513,1995,Butterfly Kiss,Michael Winterbottom,Frank Cottrell Boyce,Amanda Plummer, Comedy
516,2001,Monsoon Wedding,Mira Nair,Sabrina Dhawan,Naseeruddin Shah, Comedy
517,2001,Two Can Play That Game,Mark Brown,Mark Brown,Vivica A. Fox, Comedy
518,1969,The Prime of Miss Jean Brodie,Ronald Neame,Muriel Spark,Maggie Smith, Drama
523,1969,My Side of the Mountain,James B. Clark,Joanna Crawford,Ted Eccles, Adventure
524,1999,Mumford,Lawrence Kasdan,Lawrence Kasdan,Loren Dean, Comedy
525,1999,The Last Seduction II,Terry Marcel,Steve Barancik,Joan Severance, Crime
527,1985,Barbarian Queen,Héctor Olivera,Howard R. Cohen,Lana Clarkson, Adventure
528,2005,The Hitchhiker's Guide to the Galaxy,Garth Jennings,Douglas Adams,Martin Freeman, Adventure
529,1998,Summer of the Monkeys,Michael Anderson,Wilson Rawls,Michael Ontkean, Drama
530,1987,Return to Horror High,Bill Froehlich,Bill Froehlich,Lori Lethin, Comedy
532,1988,Young Einstein,Yahoo Serious,David Roach,Yahoo Serious, Comedy
533,1991,Drop Dead Fred,Ate de Jong,Elizabeth Livingston,Phoebe Cates, Comedy
537,1991,Here is Greenwood,Tomomi Mochizuki,Yukie Nasu,Johnny Yong Bosch, Animation
538,2003,A Crime of Passion,Charles Wilkinson,Carl Binder,Cynthia Gibb, Crime
547,1992,Kuffs,Bruce A. Evans,Bruce A. Evans,Christian Slater, Action
548,1991,Hudson Hawk,Michael Lehmann,Bruce Willis,Bruce Willis, Action
549,1955,Rage at Dawn,Tim Whelan,Horace McCoy,Randolph Scott, Action
550,1995,First Knight,Jerry Zucker,Lorne Cameron,Sean Connery, Action
551,1994,The Santa Clause,John Pasquin,Leo Benvenuti,Tim Allen, Comedy
552,1994,Radioland Murders,Mel Smith,George Lucas,Brian Benben, Comedy
553,1995,Rangeela,Ram Gopal Varma,H. Banerjee,Urmila Matondkar, Comedy
556,1999,New Waterford Girl,Allan Moyle,Tricia Fish,Liane Balaban, Comedy
557,1991,Liebestraum,Mike Figgis,Mike Figgis,Kevin Anderson, Mystery
561,1963,High and Low,Akira Kurosawa,Hideo Oguni,Toshirô Mifune, Crime
562,2002,Bloody Mallory,Julien Magnat,Stéphane Kazandjian,Olivia Bonamy, Action
563,2001,Jimmy Neutron: Boy Genius,John A. Davis,John A. Davis,Debi Derryberry, Animation
564,1990,Predator 2,Stephen Hopkins,Jim Thomas,Danny Glover, Action
571,1999,American Beauty,Sam Mendes,Alan Ball,Kevin Spacey, Drama
574,1960,Strangers When We Meet,Richard Quine,Evan Hunter,Kirk Douglas, Drama
582,1986,Jo Jo Dancer,Richard Pryor,Rocco Urbisci,Richard Pryor, Biography
583,1959,Third Man on the Mountain,Ken Annakin,Eleanore Griffin,Michael Rennie, Adventure
584,1998,The Curve,Dan Rosen,Dan Rosen,Matthew Lillard, Drama
586,1995,Shanghai Triad,Yimou Zhang,Bi Feiyu,Li Gong, Crime
587,1983,The Scarlet and the Black,Jerry London,J.P. Gallagher,Gregory Peck, Drama
591,2003,Particles of Truth,Jennifer Elster,Jennifer Elster,Jennifer Elster, Drama
592,1974,House of Whipcord,Pete Walker,David McGillivray,Barbara Markham, Horror
599,1989,Sea of Love,Harold Becker,Richard Price,Al Pacino, Crime
602,2000,Tokyo Raiders,Jingle Ma,Susan Chan,Tony Chiu-Wai Leung, Action
607,1994,Speed,Jan de Bont,Graham Yost,Keanu Reeves, Action
608,1970,The Lickerish Quartet,Radley Metzger,Michael DeForrest,Silvana Venturelli, Drama
612,1946,Cloak and Dagger,Fritz Lang,Albert Maltz,Gary Cooper, Adventure
614,1993,Bad Boy Bubby,Rolf de Heer,Rolf de Heer,Nicholas Hope, Comedy
615,1999,An Ideal Husband,Oliver Parker,Oscar Wilde,Rupert Everett, Comedy
622,1991,Talkin' Dirty After Dark,Topper Carew,Topper Carew,Martin Lawrence, Comedy
625,1999,Underground Comedy Movie,Vince Offer,Vince Offer,Barbara Snellenburg, Comedy
626,1941,They Died with Their Boots On,Raoul Walsh,Wally Kline,Errol Flynn, Biography
627,1971,Beware of a Holy Whore,Rainer Werner Fassbinder,Rainer Werner Fassbinder,Lou Castel, Comedy
628,2003,Rescue Heroes: The Movie,Ron Pitts,Brent Piaskoski,Norm Spencer, Animation
629,1984,Firestarter,Mark L. Lester,Stephen King,Drew Barrymore, Action
630,1977,Empire of the Ants,Bert I. Gordon,H.G. Wells,Joan Collins, Adventure
631,2005,Unleashed,Louis Leterrier,Luc Besson,Jet Li, Action
632,1972,Shaft's Big Score!,Gordon Parks,Ernest Tidyman,Richard Roundtree, Action
633,1993,Baazigar,Abbas Alibhai Burmawalla,Robin Bhatt,Shah Rukh Khan, Crime
636,1980,Stir Crazy,Sidney Poitier,Bruce Jay Friedman,Gene Wilder, Comedy
638,1985,The Last Dragon,Michael Schultz,Louis Venosta,Taimak, Action
640,1992,To Catch a Killer,Eric Till,Jud Kinberg,Brian Dennehy, Biography
641,1968,Charly,Ralph Nelson,Daniel Keyes,Cliff Robertson, Drama
643,2002,Buying the Cow,Walt Becker,Walt Becker,Jerry O'Connell, Comedy
644,1994,Cheyenne Warrior,Mark Griffiths,Michael B. Druxman,Kelly Preston, Action
645,2004,Dear Frankie,Shona Auerbach,Andrea Gibb,Emily Mortimer, Drama
646,1987,Matewan,John Sayles,John Sayles,Chris Cooper, Drama
647,1960,Cinderfella,Frank Tashlin,Frank Tashlin,Jerry Lewis, Comedy
652,1996,Marvin's Room,Jerry Zaks,Scott McPherson,Meryl Streep, Drama
653,2000,American Tragedy,Lawrence Schiller,Lawrence Schiller,Ving Rhames, Crime
658,1991,Robin Hood: Prince of Thieves,Kevin Reynolds,Pen Densham,Kevin Costner, Action
662,1995,Rob Roy,Michael Caton-Jones,Alan Sharp,Liam Neeson, Adventure
664,1997,Office Killer,Cindy Sherman,Elise MacAdam,Carol Kane, Comedy
665,1976,Lipstick,Lamont Johnson,David Rayfiel,Margaux Hemingway, Crime
672,1991,He Said,Ken Kwapis,Brian Hohlfeld,Kevin Bacon, Comedy
674,1988,Hellbound: Hellraiser II,Tony Randel,Clive Barker,Doug Bradley, Horror
676,1998,Mafia!,Jim Abrahams,Jim Abrahams,Jay Mohr, Comedy
678,1965,Loves of a Blonde,Milos Forman,Milos Forman,Hana Brejchová, Comedy
680,2000,Better Than Sex,Jonathan Teplitzky,Jonathan Teplitzky,David Wenham, Comedy
681,1986,Police Academy 3: Back in Training,Jerry Paris,Neal Israel,Steve Guttenberg, Comedy
682,1998,The Mighty,Peter Chelsom,Rodman Philbrick,Kieran Culkin, Comedy
683,1951,Cavalry Charge,Lewis R. Foster,Daniel Mainwaring,Ronald Reagan, Western
684,1995,Visitors of the Night,Jorge Montesi,Michael J. Murray,Markie Post, Sci-Fi
686,2000,Bedazzled,Harold Ramis,Peter Cook,Brendan Fraser, Comedy
687,2003,Peter Jennings Reports: The Kennedy Assassination: Beyond Conspiracy,Mark Obenhaus,Edward Gray,Robert Goldberg, Documentary
689,1998,One True Thing,Carl Franklin,Anna Quindlen,Meryl Streep, Drama
691,1999,Angel's Dance,David L. Corley,David L. Corley,Jim Belushi, Action
